,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates
29949,2018-00003251,1017 GROVE C Charlottesville VA 22903,1017 GROVE C,Charlottesville,VA,22903,38.029698,-78.498604,"(38.029698, -78.498604)"
29953,2018-00003252,1209 AUGUSTA Charlottesville VA 22903,1209 AUGUSTA,Charlottesville,VA,22903,38.043334,-78.48541,"(38.043334, -78.48541)"
29958,2018-00003253,1409 BAKER Charlottesville VA 22903,1409 BAKER,Charlottesville,VA,22903,38.025822,-78.502845,"(38.025822, -78.502845)"
29961,2018-00003254,512 ROCKLAND Charlottesville VA 22902,512 ROCKLAND,Charlottesville,VA,22902,38.01925,-78.485589,"(38.01925, -78.485589)"
29970,2018-00003258,1600 GORDON 2 Charlottesville VA 22903,1600 GORDON 2,Charlottesville,VA,22903,38.039929,-78.498853,"(38.039929, -78.498853)"
29972,2018-00003259,1004 HUNTWOOD Charlottesville VA 22901,1004 HUNTWOOD,Charlottesville,VA,22901,38.063747,-78.509831,"(38.063747, -78.509831)"
29976,2018-00003260,611 McIntyre Charlottesville VA 22903,611 McIntyre,Charlottesville,VA,22903,38.037275,-78.479809,"(38.037275, -78.479809)"
29978,2018-00003261,416 W. Main St. A Charlottesville VA 22903,416 W. Main St. A,Charlottesville,VA,22903,38.030395,-78.487222,"(38.030395, -78.487222)"
29982,2018-00003263,111 Monticello Av. Charlottesville VA 22902,111 Monticello Av.,Charlottesville,VA,22902,38.028216,-78.483656,"(38.028216, -78.483656)"
29985,2018-00003267,1215 LEE Charlottesville VA 22908,1215 LEE,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
29992,2018-00003269,332 PARKWAY Charlottesville VA 22902,332 PARKWAY,Charlottesville,VA,22902,38.034315,-78.476792,"(38.034315, -78.476792)"
30004,2018-00003272,207 Ridge St. Charlottesville VA 22902,207 Ridge St.,Charlottesville,VA,22902,38.029032,-78.486558,"(38.029032, -78.486558)"
30008,2018-00003275,123 CAMERON Charlottesville VA 22903,123 CAMERON,Charlottesville,VA,22903,38.040103,-78.511131,"(38.040103, -78.511131)"
30013,2018-00003276,37 West RANGE Charlottesville VA 22903,37 West RANGE,Charlottesville,VA,22903,38.034893,-78.505242,"(38.034893, -78.505242)"
30018,2018-00003277,944 Rock Creek Rd. Charlottesville VA 22902,944 Rock Creek Rd.,Charlottesville,VA,22902,38.01916,-78.497707,"(38.01916, -78.497707)"
30022,2018-00003283,410 ALTAMONT Charlottesville VA 22902,410 ALTAMONT,Charlottesville,VA,22902,38.034283,-78.481236,"(38.034283, -78.481236)"
30025,2018-00003285,1427 East HIGH Charlottesville VA 22902,1427 East HIGH,Charlottesville,VA,22902,38.032427,-78.463991,"(38.032427, -78.463991)"
30027,2018-00003286,1802 INGLEWOOD 5 City of Charlottesville VA 22901,1802 INGLEWOOD 5 City of,Charlottesville,VA,22901,38.064932,-78.497411,"(38.064932, -78.497411)"
30030,2018-00003288,1215 LEE G409 Charlottesville VA 22908,1215 LEE G409,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
30038,2018-00003289,522 8TH Northeast Charlottesville VA 22902,522 8TH Northeast,Charlottesville,VA,22902,38.033757,-78.474004,"(38.033757, -78.474004)"
30040,2018-00003291,2111 Michie 23B City of Charlottesville VA 22901,2111 Michie 23B City of,Charlottesville,VA,22901,38.059975,-78.487653,"(38.059975, -78.487653)"
30044,2018-00003292,764 PROSPECT D Charlottesville VA 22903,764 PROSPECT D,Charlottesville,VA,22903,38.022519,-78.495902,"(38.022519, -78.495902)"
30047,2018-00003293,Druid Ave E Charlottesville VA 22902,Druid Ave E,Charlottesville,VA,22902,38.016482,-78.476815,"(38.016482, -78.476815)"
30053,2018-00003294,1154 5TH Southwest Charlottesville VA 22902,1154 5TH Southwest,Charlottesville,VA,22902,38.012045,-78.502572,"(38.012045, -78.502572)"
30064,2018-00003295,114 ELLIOTT 205 Charlottesville VA 22902,114 ELLIOTT 205,Charlottesville,VA,22902,38.025062,-78.488232,"(38.025062, -78.488232)"
30068,2018-00003296,802 NASSAU Charlottesville VA 22902,802 NASSAU,Charlottesville,VA,22902,38.018319,-78.46749,"(38.018319, -78.46749)"
30070,2018-00003298,853 West MAIN 100 Charlottesville VA 22903,853 West MAIN 100,Charlottesville,VA,22903,38.032713,-78.492844,"(38.032713, -78.492844)"
30083,2018-00003301,1400 MONTICELLO 214 Charlottesville VA 22902,1400 MONTICELLO 214,Charlottesville,VA,22902,38.019349,-78.472544,"(38.019349, -78.472544)"
30085,2018-00003307,809 MONTROSE B Charlottesville VA 22902,809 MONTROSE B,Charlottesville,VA,22902,38.021133,-78.478402,"(38.021133, -78.478402)"
30087,2018-00003308,703 FOREST Charlottesville VA 22903,703 FOREST,Charlottesville,VA,22903,38.037449,-78.486676,"(38.037449, -78.486676)"
30091,2018-00003309,540 MASSIE 268 Charlottesville VA 22903,540 MASSIE 268,Charlottesville,VA,22903,38.051528,-78.512081,"(38.051528, -78.512081)"
30097,2018-00003310,500 MARTHA JEFFERSON Charlottesville VA 22911,500 MARTHA JEFFERSON,Charlottesville,VA,22911,38.023613,-78.44175,"(38.023613, -78.44175)"
30100,2018-00003311,1242 Cedars 102 Charlottesville VA 22903,1242 Cedars 102,Charlottesville,VA,22903,38.056437,-78.500668,"(38.056437, -78.500668)"
30101,2018-00003313,501 East Jefferson Charlottesville VA 22902,501 East Jefferson,Charlottesville,VA,22902,38.031412,-78.477718,"(38.031412, -78.477718)"
30105,2018-00003314,1020 GRADY Charlottesville VA 22903,1020 GRADY,Charlottesville,VA,22903,38.038808,-78.492793,"(38.038808, -78.492793)"
30109,2018-00003315,107 CHANDLER Charlottesville VA 22902,107 CHANDLER,Charlottesville,VA,22902,38.01398,-78.494463,"(38.01398, -78.494463)"
30112,2018-00003317,2161 BARRACKS Charlottesville VA 22903,2161 BARRACKS,Charlottesville,VA,22903,38.056391,-78.50274,"(38.056391, -78.50274)"
30122,2018-00003318,1540 Jefferson Park 241 Charlottesville VA 22903,1540 Jefferson Park 241,Charlottesville,VA,22903,38.031798,-78.505417,"(38.031798, -78.505417)"
30127,2018-00003319,112 West MARKET Charlottesville VA 22902,112 West MARKET,Charlottesville,VA,22902,38.031573,-78.481473,"(38.031573, -78.481473)"
30131,2018-00003320,Locust Charlottesville VA 22902,Locust,Charlottesville,VA,22902,38.040468,-78.471979,"(38.040468, -78.471979)"
30133,2018-00003321,323 MONTEBELLO Charlottesville VA 22903,323 MONTEBELLO,Charlottesville,VA,22903,38.030596,-78.510691,"(38.030596, -78.510691)"
30141,2018-00003322,134 10TH Northwest 3 Charlottesville VA 22903,134 10TH Northwest 3,Charlottesville,VA,22903,38.033775,-78.493789,"(38.033775, -78.493789)"
30151,2018-00003323,McCormick Charlottesville VA 22903,McCormick,Charlottesville,VA,22903,38.035196,-78.514108,"(38.035196, -78.514108)"
30157,2018-00003328,9TH Southwest Charlottesville VA 22903,9TH Southwest,Charlottesville,VA,22903,38.027141,-78.49533,"(38.027141, -78.49533)"
30161,2018-00003329,832 9TH ST SW / PINE Charlottesville VA 22903,832 9TH ST SW / PINE,Charlottesville,VA,22903,38.027141,-78.49533,"(38.027141, -78.49533)"
30165,2018-00003335,207 RIDGE Charlottesville VA 22903,207 RIDGE,Charlottesville,VA,22903,38.029032,-78.486558,"(38.029032, -78.486558)"
30167,2018-00003336,1500 AMHERST Charlottesville VA 22903,1500 AMHERST,Charlottesville,VA,22903,38.04244,-78.484302,"(38.04244, -78.484302)"
30173,2018-00003337,1215 LEE Charlottesville VA 22908,1215 LEE,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
30179,2018-00003339,583 BRANDON Charlottesville VA 22903,583 BRANDON,Charlottesville,VA,22903,38.029549,-78.504968,"(38.029549, -78.504968)"
30186,2018-00003342,330 6TH Southwest Charlottesville VA 22903,330 6TH Southwest,Charlottesville,VA,22903,38.028125,-78.490222,"(38.028125, -78.490222)"
30188,2018-00003345,201 Sprigg 320 Charlottesville VA 22903,201 Sprigg 320,Charlottesville,VA,22903,38.038595,-78.50718,"(38.038595, -78.50718)"
30193,2018-00003347,944 ROCK CREEK Charlottesville VA 22903,944 ROCK CREEK,Charlottesville,VA,22903,38.01916,-78.497707,"(38.01916, -78.497707)"
30196,2018-00003348,103 TOWLER Charlottesville VA 22902,103 TOWLER,Charlottesville,VA,22902,38.013603,-78.493411,"(38.013603, -78.493411)"
30200,2018-00003349,1620 KEITH VALLEY City of Charlottesville VA 22901,1620 KEITH VALLEY City of,Charlottesville,VA,22901,38.058413,-78.483561,"(38.058413, -78.483561)"
30203,2018-00003351,1101 MILLMONT Charlottesville VA 22903,1101 MILLMONT,Charlottesville,VA,22903,38.051704,-78.504163,"(38.051704, -78.504163)"
30212,2018-00003352,700 ROCKLAND Charlottesville VA 22902,700 ROCKLAND,Charlottesville,VA,22902,38.01812,-78.483639,"(38.01812, -78.483639)"
30220,2018-00003355,100 Burnet Charlottesville VA 22902,100 Burnet,Charlottesville,VA,22902,38.0239,-78.487256,"(38.0239, -78.487256)"
30224,2018-00003356,605 LEXINGTON Charlottesville VA 22902,605 LEXINGTON,Charlottesville,VA,22902,38.034495,-78.472138,"(38.034495, -78.472138)"
30226,2018-00003357,450 WHITEHEAD Charlottesville VA 22904,450 WHITEHEAD,Charlottesville,VA,22904,38.03294,-78.513458,"(38.03294, -78.513458)"
30238,2018-00003358,203 RIDGE Charlottesville VA 22903,203 RIDGE,Charlottesville,VA,22903,38.029401,-78.486353,"(38.029401, -78.486353)"
30240,2018-00003359,900 PRESTON Charlottesville VA 22903,900 PRESTON,Charlottesville,VA,22903,38.03724,-78.48898,"(38.03724, -78.48898)"
30245,2018-00003360,6TH ST / MONTICELLO Southeast Charlottesville VA 22902,6TH ST / MONTICELLO Southeast,Charlottesville,VA,22902,38.025142,-78.480684,"(38.025142, -78.480684)"
30250,2018-00003364,921 NASSAU Charlottesville VA 22902,921 NASSAU,Charlottesville,VA,22902,38.015891,-78.469729,"(38.015891, -78.469729)"
30251,2018-00003365,475 RIDGE MCINTIRE Charlottesville VA 22903,475 RIDGE MCINTIRE,Charlottesville,VA,22903,38.032892,-78.484967,"(38.032892, -78.484967)"
30255,2018-00003373,118 BLINCOE Charlottesville VA 22902,118 BLINCOE,Charlottesville,VA,22902,38.015942,-78.483511,"(38.015942, -78.483511)"
30261,2018-00003374,212 RIDGE MCINTIRE 714 Charlottesville VA 22902,212 RIDGE MCINTIRE 714,Charlottesville,VA,22902,38.031766,-78.483883,"(38.031766, -78.483883)"
30266,2018-00003375,768 PROSPECT D Charlottesville VA 22903,768 PROSPECT D,Charlottesville,VA,22903,38.022392,-78.495996,"(38.022392, -78.495996)"
30272,2018-00003378,100 RIDGE Charlottesville VA 22902,100 RIDGE,Charlottesville,VA,22902,38.029854,-78.484804,"(38.029854, -78.484804)"
30277,2018-00003381,255 West MAIN Charlottesville VA 22902,255 West MAIN,Charlottesville,VA,22902,38.03085,-78.484199,"(38.03085, -78.484199)"
30278,2018-00003382,839 ESTES Charlottesville VA 22903,839 ESTES,Charlottesville,VA,22903,38.030966,-78.493579,"(38.030966, -78.493579)"
30281,2018-00003385,EMMET South Charlottesville VA 22903,EMMET South,Charlottesville,VA,22903,38.032913,-78.509104,"(38.032913, -78.509104)"
30284,2018-00003386,298 RIVERSIDE Charlottesville VA 22902,298 RIVERSIDE,Charlottesville,VA,22902,38.023758,-78.455432,"(38.023758, -78.455432)"
30286,2018-00003387,1556 DAIRY Charlottesville VA 22903,1556 DAIRY,Charlottesville,VA,22903,38.054825,-78.484616,"(38.054825, -78.484616)"
30296,2018-00003388,100 Burnett Charlottesville VA 22902,100 Burnett,Charlottesville,VA,22902,38.0239,-78.487256,"(38.0239, -78.487256)"
30300,2018-00003389,1185 SEMINOLE Charlottesville VA 22901,1185 SEMINOLE,Charlottesville,VA,22901,38.068338,-78.485158,"(38.068338, -78.485158)"
30305,2018-00003390,364 HILLSDALE Charlottesville VA 22901,364 HILLSDALE,Charlottesville,VA,22901,38.06405,-78.488415,"(38.06405, -78.488415)"
30308,2018-00003393,123 East MAIN Charlottesville VA 22902,123 East MAIN,Charlottesville,VA,22902,38.030838,-78.48088,"(38.030838, -78.48088)"
30314,2018-00003394,10TH Northeast Charlottesville VA 22902,10TH Northeast,Charlottesville,VA,22902,38.028205,-78.473919,"(38.028205, -78.473919)"
30317,2018-00003395,1349 OVERLOOK Charlottesville VA 22903,1349 OVERLOOK,Charlottesville,VA,22903,38.014717,-78.539477,"(38.014717, -78.539477)"
30320,2018-00003396,735 ORANGEDALE Charlottesville VA 22903,735 ORANGEDALE,Charlottesville,VA,22903,38.023432,-78.496692,"(38.023432, -78.496692)"
30324,2018-00003397,123 East MAIN Charlottesville VA 22902,123 East MAIN,Charlottesville,VA,22902,38.030838,-78.48088,"(38.030838, -78.48088)"
30330,2018-00003398,2 LINK EVANS Earlysville VA 22936,2 LINK EVANS,Earlysville,VA,22936,38.15513,-78.498447,"(38.15513, -78.498447)"
30333,2018-00003402,7TH Northeast Charlottesville VA 22902,7TH Northeast,Charlottesville,VA,22902,38.032603,-78.475436,"(38.032603, -78.475436)"
30336,2018-00003407,1422 FOREST RIDGE Charlottesville VA 22903,1422 FOREST RIDGE,Charlottesville,VA,22903,38.02304,-78.49835,"(38.02304, -78.49835)"
30339,2018-00003408,207 Ridge Charlottesville VA 22903,207 Ridge,Charlottesville,VA,22903,38.029032,-78.486558,"(38.029032, -78.486558)"
30343,2018-00003409,1415 JEFFERSON PARK 1075 Charlottesville VA 22903,1415 JEFFERSON PARK 1075,Charlottesville,VA,22903,38.032722,-78.501934,"(38.032722, -78.501934)"
30347,2018-00003410,822 HARDY C Charlottesville VA 22903,822 HARDY C,Charlottesville,VA,22903,38.033183,-78.492547,"(38.033183, -78.492547)"
30351,2018-00003422,300 Massie Charlottesville VA 22903,300 Massie,Charlottesville,VA,22903,38.045147,-78.510495,"(38.045147, -78.510495)"
30357,2018-00003424,1009 LOCUST Charlottesville VA 22901,1009 LOCUST,Charlottesville,VA,22901,,,"(nan, nan)"
30358,2018-00003424,1009 LOCUST Charlottesville VA 22901,1009 LOCUST,Charlottesville,VA,22901,,,"(nan, nan)"
30359,2018-00003425,1329 RIVERDALE 9 Charlottesville VA 22902,1329 RIVERDALE 9,Charlottesville,VA,22902,38.03444,-78.461015,"(38.03444, -78.461015)"
30361,2018-00003428,1400 EMMET North Charlottesville VA 22903,1400 EMMET North,Charlottesville,VA,22903,38.055921,-78.496291,"(38.055921, -78.496291)"
30364,2018-00003429,321 HILLSDALE Charlottesville VA 22901,321 HILLSDALE,Charlottesville,VA,22901,38.062039,-78.486731,"(38.062039, -78.486731)"
30371,2018-00003432,1413 CEDARWOOD Charlottesville VA 22903,1413 CEDARWOOD,Charlottesville,VA,22903,38.015703,-78.536682,"(38.015703, -78.536682)"
30374,2018-00003433,930 OLYMPIA Charlottesville VA 22911,930 OLYMPIA,Charlottesville,VA,22911,38.034401,-78.447863,"(38.034401, -78.447863)"
30380,2018-00003435,30 South Lawn Charlottesville VA 22903,30 South Lawn,Charlottesville,VA,22903,38.032884,-78.504874,"(38.032884, -78.504874)"
30385,2018-00003436,1083 East WATER Charlottesville VA 22902,1083 East WATER,Charlottesville,VA,22902,38.026076,-78.470699,"(38.026076, -78.470699)"
30393,2018-00003437,612 RIDGE Charlottesville VA 22902,612 RIDGE,Charlottesville,VA,22902,38.025126,-78.489154,"(38.025126, -78.489154)"
30395,2018-00003438,123 East MAIN Charlottesville VA 22902,123 East MAIN,Charlottesville,VA,22902,38.030838,-78.48088,"(38.030838, -78.48088)"
30398,2018-00003447,1100 SEMINOLE Charlottesville VA 22901,1100 SEMINOLE,Charlottesville,VA,22901,38.066234,-78.488092,"(38.066234, -78.488092)"
30401,2018-00003450,320 BERRING Charlottesville VA 22902,320 BERRING,Charlottesville,VA,22902,38.023698,-78.491558,"(38.023698, -78.491558)"
30404,2018-00003454,301 15TH Northwest Charlottesville VA 22903,301 15TH Northwest,Charlottesville,VA,22903,38.037247,-78.499539,"(38.037247, -78.499539)"
30410,2018-00003456,JPA Charlottesville VA 22903,JPA,Charlottesville,VA,22903,38.025468,-78.514993,"(38.025468, -78.514993)"
30415,2018-00003457,608 PRESTON Charlottesville VA 22903,608 PRESTON,Charlottesville,VA,22903,38.041518,-78.498071,"(38.041518, -78.498071)"
30421,2018-00003458,702 NASSAU Charlottesville VA 22902,702 NASSAU,Charlottesville,VA,22902,38.018826,-78.466954,"(38.018826, -78.466954)"
30424,2018-00003462,2301 SHELBY Charlottesville VA 22901,2301 SHELBY,Charlottesville,VA,22901,38.063308,-78.496077,"(38.063308, -78.496077)"
30428,2018-00003469,100 East 2ND Northeast Charlottesville VA 22902,100 East 2ND Northeast,Charlottesville,VA,22902,38.030595,-78.480646,"(38.030595, -78.480646)"
30431,2018-00003470,208 MONTE VISTA Charlottesville VA 22903,208 MONTE VISTA,Charlottesville,VA,22903,38.015715,-78.513922,"(38.015715, -78.513922)"
30434,2018-00003475,1581 RIO East Charlottesville VA 22901,1581 RIO East,Charlottesville,VA,22901,38.080686,-78.473029,"(38.080686, -78.473029)"
30437,2018-00003477,417 West MAIN Charlottesville VA 22903,417 West MAIN,Charlottesville,VA,22903,38.031018,-78.486944,"(38.031018, -78.486944)"
30443,2018-00003478,1210 HOLMES Charlottesville VA 22901,1210 HOLMES,Charlottesville,VA,22901,38.046807,-78.460518,"(38.046807, -78.460518)"
30446,2018-00003479,417 West MAIN Charlottesville VA 22903,417 West MAIN,Charlottesville,VA,22903,38.031018,-78.486944,"(38.031018, -78.486944)"
30449,2018-00003480,1169 EMMET North Charlottesville VA 22903,1169 EMMET North,Charlottesville,VA,22903,38.052745,-78.499226,"(38.052745, -78.499226)"
30452,2018-00003483,1797 Hydraulic Charlottesville VA 22901,1797 Hydraulic,Charlottesville,VA,22901,38.059679,-78.489242,"(38.059679, -78.489242)"
30455,2018-00003485,815 ANDERSON Charlottesville VA 22903,815 ANDERSON,Charlottesville,VA,22903,38.03513,-78.490057,"(38.03513, -78.490057)"
30487,2018-00003490,1310 Carter Charlottesville VA 22901,1310 Carter,Charlottesville,VA,22901,38.056348,-78.471982,"(38.056348, -78.471982)"
30490,2018-00003491,1417 University Charlottesville VA 22903,1417 University,Charlottesville,VA,22903,38.034161,-78.499727,"(38.034161, -78.499727)"
30493,2018-00003493,422 Meade Charlottesville VA 22902,422 Meade,Charlottesville,VA,22902,38.031193,-78.464023,"(38.031193, -78.464023)"
30495,2018-00003495,1242 CEDARS 324B Charlottesville VA 22903,1242 CEDARS 324B,Charlottesville,VA,22903,38.056437,-78.500668,"(38.056437, -78.500668)"
30496,2018-00003498,127 North BAKER A Charlottesville VA 22903,127 North BAKER A,Charlottesville,VA,22903,38.028114,-78.504162,"(38.028114, -78.504162)"
30499,2018-00003504,552 VALLEY Charlottesville VA 22903,552 VALLEY,Charlottesville,VA,22903,38.02963,-78.508036,"(38.02963, -78.508036)"
30502,2018-00003505,350 14TH Northwest Charlottesville VA 22903,350 14TH Northwest,Charlottesville,VA,22903,38.037301,-78.497811,"(38.037301, -78.497811)"
30505,2018-00003507,305 MIDDLETON Charlottesville VA 22903,305 MIDDLETON,Charlottesville,VA,22903,38.013331,-78.515796,"(38.013331, -78.515796)"
30509,2018-00003515,728 Orangedale Charlottesville VA 22903,728 Orangedale,Charlottesville,VA,22903,38.023364,-78.496101,"(38.023364, -78.496101)"
30512,2018-00003521,2002 SPOTTSWOOD Charlottesville VA 22903,2002 SPOTTSWOOD,Charlottesville,VA,22903,38.052054,-78.495349,"(38.052054, -78.495349)"
30515,2018-00003523,933 RUGBY Charlottesville VA 22903,933 RUGBY,Charlottesville,VA,22903,38.045593,-78.494503,"(38.045593, -78.494503)"
30518,2018-00003524,1015 PRESTON Charlottesville VA 22903,1015 PRESTON,Charlottesville,VA,22903,38.040744,-78.492622,"(38.040744, -78.492622)"
30521,2018-00003526,1329 RIVERDALE 9 Charlottesville VA 22902,1329 RIVERDALE 9,Charlottesville,VA,22902,38.03444,-78.461015,"(38.03444, -78.461015)"
30526,2018-00003527,601 PRESTON Charlottesville VA 22903,601 PRESTON,Charlottesville,VA,22903,38.035167,-78.485538,"(38.035167, -78.485538)"
30529,2018-00003534,817 HARDY A Charlottesville VA 22903,817 HARDY A,Charlottesville,VA,22903,38.033752,-78.491578,"(38.033752, -78.491578)"
30533,2018-00003535,1645 MERIDIAN B Charlottesville VA 22902,1645 MERIDIAN B,Charlottesville,VA,22902,38.013466,-78.481231,"(38.013466, -78.481231)"
30535,2018-00003537,2112 SADDLE HOLLOW Crozet VA 22932,2112 SADDLE HOLLOW,Crozet,VA,22932,38.096365,-78.722784,"(38.096365, -78.722784)"
30536,2018-00003543,0 Charlottesville VA 22903,0,Charlottesville,VA,22903,38.021787,-78.540667,"(38.021787, -78.540667)"
30540,2018-00003544,402 11th Northeast C21 Charlottesville VA 22902,402 11th Northeast C21,Charlottesville,VA,22902,38.030919,-78.46966,"(38.030919, -78.46966)"
30543,2018-00003550,450 TREE HOUSE Charlottesville VA 22903,450 TREE HOUSE,Charlottesville,VA,22903,38.033343,-78.516342,"(38.033343, -78.516342)"
30547,2018-00003551,922 CHARLTON B Charlottesville VA 22903,922 CHARLTON B,Charlottesville,VA,22903,38.03913,-78.489051,"(38.03913, -78.489051)"
30548,2018-00003552,931 CHARLTON Charlottesville VA 22903,931 CHARLTON,Charlottesville,VA,22903,38.039592,-78.489223,"(38.039592, -78.489223)"
30551,2018-00003554,25 HANCOCK 307 Charlottesville VA 22904,25 HANCOCK 307,Charlottesville,VA,22904,38.035698,-78.511832,"(38.035698, -78.511832)"
30553,2018-00003555,RIO RD W Charlottesville VA 22901,RIO RD W,Charlottesville,VA,22901,38.085049,-78.477386,"(38.085049, -78.477386)"
30556,2018-00003557,852 West MAIN Charlottesville VA 22903,852 West MAIN,Charlottesville,VA,22903,38.031659,-78.493321,"(38.031659, -78.493321)"
30563,2018-00003558,600 RUGBY Charlottesville VA 22903,600 RUGBY,Charlottesville,VA,22903,38.041869,-78.500049,"(38.041869, -78.500049)"
30570,2018-00003561,1131 5TH Southwest Charlottesville VA 22903,1131 5TH Southwest,Charlottesville,VA,22903,38.013273,-78.502968,"(38.013273, -78.502968)"
30572,2018-00003562,1335 CARLTON Charlottesville VA 22902,1335 CARLTON,Charlottesville,VA,22902,38.021752,-78.464846,"(38.021752, -78.464846)"
30576,2018-00003563,231 HARTMANS MILL Charlottesville VA 22902,231 HARTMANS MILL,Charlottesville,VA,22902,38.021666,-78.490135,"(38.021666, -78.490135)"
30581,2018-00003568,114 MAYWOOD B Charlottesville VA 22903,114 MAYWOOD B,Charlottesville,VA,22903,38.028822,-78.507991,"(38.028822, -78.507991)"
30584,2018-00003569,404 GARRETT D Charlottesville VA 22902,404 GARRETT D,Charlottesville,VA,22902,38.028064,-78.481243,"(38.028064, -78.481243)"
30592,2018-00003579,1112 East JEFFERSON Charlottesville VA 22902,1112 East JEFFERSON,Charlottesville,VA,22902,38.028994,-78.470746,"(38.028994, -78.470746)"
30594,2018-00003580,0 Charlottesville VA 22902,0,Charlottesville,VA,22902,38.040468,-78.471979,"(38.040468, -78.471979)"
30597,2018-00003582,2616 WILLARD Charlottesville VA 22903,2616 WILLARD,Charlottesville,VA,22903,38.0163,-78.507806,"(38.0163, -78.507806)"
30599,2018-00003584,1306 Oxford Charlottesville VA 22903,1306 Oxford,Charlottesville,VA,22903,38.047767,-78.484482,"(38.047767, -78.484482)"
30602,2018-00003585,729 ORANGEDALE Charlottesville VA 22903,729 ORANGEDALE,Charlottesville,VA,22903,38.023592,-78.496562,"(38.023592, -78.496562)"
30605,2018-00003590,3RD ST SE / E WATER Charlottesville VA 22902,3RD ST SE / E WATER,Charlottesville,VA,22902,38.029568,-78.48036,"(38.029568, -78.48036)"
30607,2018-00003591,EMMET ST N / BARRACKS Charlottesville VA 22903,EMMET ST N / BARRACKS,Charlottesville,VA,22903,38.052685,-78.499058,"(38.052685, -78.499058)"
30611,2018-00003596,400 WOODBROOK Charlottesville VA 22901,400 WOODBROOK,Charlottesville,VA,22901,38.090603,-78.471405,"(38.090603, -78.471405)"
30614,2018-00003600,1404 HOLLY Charlottesville VA 22901,1404 HOLLY,Charlottesville,VA,22901,38.057021,-78.473697,"(38.057021, -78.473697)"
30618,2018-00003601,1879 WAYSIDE Charlottesville VA 22903,1879 WAYSIDE,Charlottesville,VA,22903,38.045703,-78.50332,"(38.045703, -78.50332)"
30620,2018-00003602,100 RIDGE Charlottesville VA 22902,100 RIDGE,Charlottesville,VA,22902,38.029854,-78.484804,"(38.029854, -78.484804)"
30625,2018-00003606,509 PARK Charlottesville VA 22902,509 PARK,Charlottesville,VA,22902,38.033846,-78.476444,"(38.033846, -78.476444)"
30627,2018-00003608,500 1ST South 403 Charlottesville VA 22902,500 1ST South 403,Charlottesville,VA,22902,38.026601,-78.483836,"(38.026601, -78.483836)"
30629,2018-00003609,717 PROSPECT Charlottesville VA 22903,717 PROSPECT,Charlottesville,VA,22903,38.023992,-78.495135,"(38.023992, -78.495135)"
30631,2018-00003611,1005 ALTAVISTA Charlottesville VA 22902,1005 ALTAVISTA,Charlottesville,VA,22902,38.018278,-78.47661,"(38.018278, -78.47661)"
30635,2018-00003612,1335 Rugby Charlottesville VA 22903,1335 Rugby,Charlottesville,VA,22903,38.050951,-78.489892,"(38.050951, -78.489892)"
30639,2018-00003614,1801 HYDRAULIC Charlottesville VA 22901,1801 HYDRAULIC,Charlottesville,VA,22901,38.059858,-78.489975,"(38.059858, -78.489975)"
30640,2018-00003616,401 East MAIN Charlottesville VA 22902,401 East MAIN,Charlottesville,VA,22902,38.030158,-78.479172,"(38.030158, -78.479172)"
30643,2018-00003617,526 MEADE Charlottesville VA 22902,526 MEADE,Charlottesville,VA,22902,38.031295,-78.463942,"(38.031295, -78.463942)"
30646,2018-00003622,1215 LEE Charlottesville VA 22908,1215 LEE,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
30652,2018-00003626,1110 GORDON B Charlottesville VA 22903,1110 GORDON B,Charlottesville,VA,22903,38.038183,-78.494591,"(38.038183, -78.494591)"
30655,2018-00003628,312 RIVERSIDE Charlottesville VA 22902,312 RIVERSIDE,Charlottesville,VA,22902,38.02459,-78.454813,"(38.02459, -78.454813)"
30665,2018-00003631,1106 West MAIN Charlottesville VA 22903,1106 West MAIN,Charlottesville,VA,22903,38.032812,-78.496022,"(38.032812, -78.496022)"
30672,2018-00003632,1106 West MAIN Charlottesville VA 22903,1106 West MAIN,Charlottesville,VA,22903,38.032812,-78.496022,"(38.032812, -78.496022)"
30676,2018-00003635,613 ROCK CREEK B Charlottesville VA 22903,613 ROCK CREEK B,Charlottesville,VA,22903,38.023688,-78.501472,"(38.023688, -78.501472)"
30679,2018-00003638,1337 CARLTON Charlottesville VA 22902,1337 CARLTON,Charlottesville,VA,22902,38.021646,-78.463968,"(38.021646, -78.463968)"
30686,2018-00003642,212 RIDGE MCINTIRE 314 Charlottesville VA 22902,212 RIDGE MCINTIRE 314,Charlottesville,VA,22902,38.031766,-78.483883,"(38.031766, -78.483883)"
30688,2018-00003645,1215 LEE Charlottesville VA 22908,1215 LEE,Charlottesville,VA,22908,38.031028,-78.498547,"(38.031028, -78.498547)"
30699,2018-00003646,2715 FARMINGTON Charlottesville VA 22901,2715 FARMINGTON,Charlottesville,VA,22901,38.055922,-78.532026,"(38.055922, -78.532026)"
30702,2018-00003647,1242 CEDARS 107 Charlottesville VA 22903,1242 CEDARS 107,Charlottesville,VA,22903,38.056437,-78.500668,"(38.056437, -78.500668)"
